BLE1,BLE2,BLE3,BLE4,BLE5,PRED
-64.0,-58.0,-54.0,-64.0,-64.0,1.0
-53.0,-58.0,-69.0,-64.0,-64.0,1.0
-52.0,-60.0,-69.0,-68.0,-70.0,1.0
-57.0,-59.0,-54.0,-67.0,-70.0,1.0
-64.0,-61.0,-54.0,-62.0,-74.0,1.0
-64.0,-59.0,-71.0,-62.0,-74.0,1.0
-53.0,-59.0,-71.0,-64.0,-70.0,1.0
-64.0,-58.0,-55.0,-62.0,-64.0,1.0
-57.0,-58.0,-57.0,-62.0,-74.0,1.0
-57.0,-59.0,-56.0,-67.0,-74.0,1.0
-64.0,-60.0,-56.0,-66.0,-74.0,1.0
-64.0,-61.0,-55.0,-62.0,-74.0,1.0
-53.0,-61.0,-54.0,-66.0,-74.0,1.0
-53.0,-58.0,-56.0,-66.0,-74.0,1.0
-57.0,-58.0,-54.0,-62.0,-70.0,1.0
-56.0,-60.0,-56.0,-62.0,-70.0,1.0
-56.0,-61.0,-55.0,-64.0,-64.0,1.0
-53.0,-59.0,-56.0,-62.0,-64.0,1.0
-53.0,-59.0,-56.0,-62.0,-65.0,1.0
-57.0,-61.0,-56.0,-67.0,-64.0,1.0
-53.0,-61.0,-56.0,-66.0,-70.0,1.0
-53.0,-58.0,-54.0,-62.0,-70.0,1.0
-64.0,-60.0,-56.0,-62.0,-73.0,1.0
-64.0,-59.0,-55.0,-66.0,-73.0,1.0
-53.0,-60.0,-56.0,-66.0,-70.0,1.0
-53.0,-59.0,-56.0,-62.0,-65.0,1.0
-57.0,-59.0,-56.0,-64.0,-74.0,1.0
-56.0,-59.0,-56.0,-64.0,-74.0,1.0
-64.0,-58.0,-56.0,-64.0,-70.0,1.0
-64.0,-58.0,-68.0,-63.0,-70.0,1.0
-56.0,-59.0,-68.0,-67.0,-65.0,1.0
-56.0,-60.0,-55.0,-62.0,-65.0,1.0
-64.0,-61.0,-54.0,-64.0,-70.0,1.0
-64.0,-58.0,-68.0,-63.0,-70.0,1.0
-54.0,-58.0,-68.0,-64.0,-65.0,1.0
-57.0,-61.0,-68.0,-64.0,-65.0,1.0
-58.0,-60.0,-56.0,-66.0,-70.0,1.0
-65.0,-58.0,-56.0,-66.0,-70.0,1.0
-65.0,-57.0,-54.0,-62.0,-74.0,1.0
-54.0,-59.0,-54.0,-64.0,-74.0,1.0
-54.0,-57.0,-68.0,-64.0,-70.0,1.0
-65.0,-57.0,-56.0,-66.0,-70.0,1.0
-65.0,-61.0,-56.0,-66.0,-65.0,1.0
-57.0,-61.0,-54.0,-62.0,-65.0,1.0
-57.0,-58.0,-54.0,-67.0,-70.0,1.0
