Be07,Be08,Be09,Be10,Be11,Sector
-59.0,-60.0,-58.0,-57.0,-56.0,1
-57.0,-58.0,-61.0,-64.0,-64.0,1
-68.0,-68.0,-69.0,-74.0,-69.0,1
-81.0,-79.0,-78.0,-77.0,-84.0,1
-79.0,-77.0,-76.0,-79.0,-80.0,1
-79.0,-81.0,-85.0,-82.0,-82.0,1
-82.0,-86.0,-84.0,-104.0,-78.0,1
-71.0,-74.0,-75.0,-73.0,-72.0,1
-79.0,-80.0,-76.0,-74.0,-71.0,1
-69.0,-66.0,-65.0,-65.0,-66.0,1
-68.0,-66.0,-64.0,-62.0,-66.0,1
-68.0,-70.0,-70.0,-66.0,-61.0,1
-75.0,-98.0,-77.0,-73.0,-65.0,1
-63.0,-69.0,-72.0,-68.0,-68.0,1
-73.0,-72.0,-66.0,-64.0,-64.0,1
-62.0,-61.0,-62.0,-67.0,-69.0,1
-81.0,-82.0,-86.0,-76.0,-73.0,1
-70.0,-71.0,-80.0,-76.0,-74.0,1
-73.0,-75.0,-81.0,-78.0,-76.0,1
-78.0,-81.0,-81.0,-76.0,-75.0,1
-73.0,-74.0,-79.0,-81.0,-74.0,1
-72.0,-70.0,-70.0,-72.0,-78.0,1
-81.0,-80.0,-79.0,-77.0,-75.0,1
-75.0,-75.0,-75.0,-75.0,-75.0,1
-74.0,-72.0,-69.0,-74.0,-75.0,1
-71.0,-71.0,-80.0,-83.0,-75.0,1
-78.0,-75.0,-72.0,-70.0,-69.0,1
-71.0,-74.0,-74.0,-79.0,-76.0,1
-72.0,-70.0,-69.0,-71.0,-65.0,1
-66.0,-68.0,-79.0,-70.0,-77.0,1
-66.0,-69.0,-65.0,-75.0,-72.0,1
-72.0,-67.0,-62.0,-62.0,-72.0,1
-73.0,-64.0,-62.0,-48.0,-59.0,1
-61.0,-55.0,-55.0,-48.0,-54.0,1
-54.0,-59.0,-59.0,-54.0,-56.0,1
-53.0,-53.0,-54.0,-60.0,-59.0,1
-61.0,-62.0,-59.0,-56.0,-50.0,1
-62.0,-67.0,-62.0,-60.0,-58.0,1
-64.0,-75.0,-67.0,-63.0,-64.0,1
-72.0,-66.0,-78.0,-72.0,-76.0,1
-71.0,-71.0,-80.0,-72.0,-69.0,1
-48.0,-70.0,-63.0,-64.0,-71.0,1
-68.0,-67.0,-67.0,-67.0,-73.0,1
-77.0,-74.0,-69.0,-66.0,-68.0,1
-66.0,-64.0,-66.0,-65.0,-72.0,1
-69.0,-66.0,-66.0,-61.0,-63.0,1
-60.0,-60.0,-57.0,-58.0,-59.0,1
-60.0,-62.0,-59.0,-59.0,-59.0,1
-59.0,-59.0,-60.0,-61.0,-58.0,1
-57.0,-59.0,-70.0,-64.0,-62.0,1
-65.0,-59.0,-64.0,-68.0,-62.0,1
-64.0,-63.0,-66.0,-61.0,-70.0,1
-65.0,-65.0,-68.0,-69.0,-67.0,1
-67.0,-66.0,-70.0,-86.0,-82.0,1
-79.0,-74.0,-77.0,-72.0,-62.0,1
-59.0,-55.0,-58.0,-57.0,-61.0,1
-62.0,-58.0,-59.0,-60.0,-62.0,1
-63.0,-69.0,-67.0,-63.0,-69.0,1
-66.0,-64.0,-65.0,-66.0,-74.0,1
-62.0,-57.0,-57.0,-57.0,-57.0,1
-57.0,-55.0,-55.0,-58.0,-58.0,1
-57.0,-58.0,-58.0,-59.0,-59.0,1
-59.0,-64.0,-62.0,-63.0,-70.0,1
-72.0,-68.0,-68.0,-65.0,-83.0,1
-63.0,-57.0,-61.0,-62.0,-60.0,1
-63.0,-67.0,-74.0,-68.0,-66.0,1
-64.0,-65.0,-67.0,-64.0,-61.0,1
-61.0,-67.0,-73.0,-70.0,-72.0,1
-70.0,-75.0,-78.0,-78.0,-73.0,1
-77.0,-70.0,-70.0,-67.0,-67.0,1
-69.0,-71.0,-65.0,-65.0,-61.0,1
-60.0,-64.0,-63.0,-60.0,-61.0,1
-69.0,-68.0,-67.0,-64.0,-61.0,1
-61.0,-63.0,-70.0,-65.0,-65.0,1
-69.0,-61.0,-59.0,-67.0,-59.0,1
-58.0,-62.0,-62.0,-66.0,-69.0,1
-59.0,-59.0,-61.0,-61.0,-68.0,1
-60.0,-55.0,-21.0,-57.0,-56.0,1
-60.0,-59.0,-59.0,-58.0,-57.0,1
-58.0,-58.0,-57.0,-56.0,-57.0,1
-58.0,-60.0,-68.0,-64.0,-64.0,1
-65.0,-68.0,-68.0,-69.0,-68.0,1
-68.0,-73.0,-65.0,-50.0,-67.0,1
-51.0,-73.0,-74.0,-79.0,-82.0,1
-79.0,-93.0,-99.0,-69.0,-66.0,1
-66.0,-59.0,-61.0,-60.0,-62.0,1
-65.0,-73.0,-76.0,-85.0,-78.0,1
-68.0,-66.0,-71.0,-77.0,-70.0,1
-69.0,-72.0,-65.0,-65.0,-65.0,1
-68.0,-66.0,-67.0,-70.0,-64.0,1
-62.0,-61.0,-64.0,-66.0,-61.0,1
-60.0,-60.0,-61.0,-61.0,-60.0,1
-57.0,-59.0,-62.0,-60.0,-62.0,1
-64.0,-61.0,-61.0,-61.0,-61.0,1
-61.0,-61.0,-60.0,-58.0,-54.0,1
-54.0,-56.0,-58.0,-58.0,-58.0,1
-58.0,-59.0,-58.0,-60.0,-62.0,1
-65.0,-65.0,-62.0,-68.0,-68.0,1
-63.0,-58.0,-58.0,-58.0,-61.0,1
-67.0,-70.0,-65.0,-65.0,-63.0,1
-61.0,-61.0,-61.0,-61.0,-61.0,1
-62.0,-60.0,-61.0,-61.0,-61.0,1
-60.0,-78.0,-80.0,-84.0,-85.0,1
-83.0,-72.0,-73.0,-72.0,-80.0,1
-69.0,-75.0,-72.0,-75.0,-78.0,1
-77.0,-73.0,-73.0,-71.0,-70.0,1
-71.0,-76.0,-69.0,-69.0,-66.0,1
-66.0,-68.0,-67.0,-69.0,-70.0,1
-61.0,-68.0,-65.0,-69.0,-71.0,1
-67.0,-64.0,-65.0,-66.0,-63.0,1
-66.0,-73.0,-78.0,-71.0,-71.0,1
-71.0,-75.0,-85.0,-79.0,-80.0,1
-78.0,-79.0,-81.0,-78.0,-83.0,1
-82.0,-85.0,-90.0,-83.0,-87.0,1
-90.0,-93.0,-81.0,-77.0,-88.0,1
-83.0,-78.0,-75.0,-73.0,-71.0,1
-71.0,-73.0,-72.0,-73.0,-72.0,1
-72.0,-73.0,-71.0,-70.0,-72.0,1
-72.0,-74.0,-76.0,-74.0,-75.0,1
-76.0,-75.0,-70.0,-69.0,-68.0,1
-68.0,-69.0,-70.0,-68.0,-65.0,1
-65.0,-66.0,-66.0,-67.0,-66.0,1
-67.0,-67.0,-68.0,-70.0,-71.0,1
-68.0,-72.0,-71.0,-68.0,-67.0,1
-69.0,-80.0,-80.0,-70.0,-71.0,1
-72.0,-90.0,-75.0,-75.0,-84.0,1
-75.0,-73.0,-63.0,-71.0,-57.0,1
-79.0,-67.0,-67.0,-67.0,-66.0,1
-65.0,-70.0,-67.0,-74.0,-68.0,1
-69.0,-82.0,-72.0,-70.0,-69.0,1
-71.0,-73.0,-71.0,-74.0,-87.0,1
-78.0,-79.0,-79.0,-85.0,-97.0,1
-95.0,-91.0,-78.0,-80.0,-78.0,1
-68.0,-80.0,-87.0,-74.0,-76.0,1
