Be07,Be08,Be09,Be10,Be11,Sector
-97.0,-97.0,-92.0,-87.0,-82.0,1
-86.0,-94.0,-90.0,-84.0,-96.0,1
-96.0,-83.0,-93.0,-88.0,-89.0,1
-87.0,-89.0,-86.0,-88.0,-86.0,1
-86.0,-86.0,-92.0,-95.0,-94.0,1
-97.0,-97.0,-95.0,-94.0,-94.0,1
-93.0,-93.0,-93.0,-92.0,-91.0,1
-91.0,-91.0,-90.0,-89.0,-95.0,1
-98.0,-94.0,-97.0,-93.0,-94.0,1
-89.0,-97.0,-96.0,-98.0,-94.0,1
-90.0,-90.0,-92.0,-91.0,-90.0,1
-91.0,-93.0,-93.0,-92.0,-93.0,1
-94.0,-93.0,-97.0,-95.0,-92.0,1
-86.0,-90.0,-90.0,-85.0,-84.0,1
-84.0,-93.0,-97.0,-96.0,-105.0,1
-97.0,-99.0,-95.0,-89.0,-92.0,1
-95.0,-94.0,-96.0,-94.0,-98.0,1
-95.0,-96.0,-94.0,-93.0,-95.0,1
-96.0,-97.0,-103.0,-102.0,-103.0,1
-98.0,-99.0,-98.0,-94.0,-93.0,1
-95.0,-95.0,-102.0,-94.0,-98.0,1
-97.0,-99.0,-101.0,-95.0,-87.0,1
-84.0,-85.0,-85.0,-87.0,-91.0,1
-90.0,-84.0,-80.0,-80.0,-84.0,1
-86.0,-87.0,-83.0,-83.0,-82.0,1
-82.0,-82.0,-83.0,-85.0,-91.0,1
-97.0,-97.0,-94.0,-79.0,-78.0,1
-72.0,-79.0,-79.0,-79.0,-80.0,1
-79.0,-81.0,-79.0,-79.0,-82.0,1
-80.0,-82.0,-79.0,-79.0,-82.0,1
-80.0,-79.0,-79.0,-80.0,-91.0,1
-92.0,-92.0,-72.0,-92.0,-91.0,1
-92.0,-94.0,-93.0,-94.0,-96.0,1
-94.0,-92.0,-94.0,-93.0,-92.0,1
-93.0,-91.0,-89.0,-90.0,-89.0,1
-90.0,-89.0,-90.0,-91.0,-91.0,1
-89.0,-82.0,-93.0,-89.0,-92.0,1
-93.0,-85.0,-86.0,-83.0,-82.0,1
-81.0,-86.0,-85.0,-85.0,-87.0,1
-84.0,-83.0,-88.0,-83.0,-83.0,1
-84.0,-83.0,-84.0,-83.0,-86.0,1
-84.0,-81.0,-79.0,-82.0,-81.0,1
-83.0,-82.0,-83.0,-81.0,-79.0,1
-78.0,-78.0,-78.0,-79.0,-79.0,1
-82.0,-81.0,-80.0,-75.0,-94.0,1
-94.0,-86.0,-90.0,-92.0,-87.0,1
-88.0,-90.0,-93.0,-93.0,-93.0,1
-93.0,-93.0,-95.0,-92.0,-90.0,1
-89.0,-92.0,-89.0,-92.0,-92.0,1
-94.0,-94.0,-93.0,-92.0,-91.0,1
-92.0,-93.0,-74.0,-93.0,-93.0,1
-92.0,-92.0,-92.0,-93.0,-90.0,1
-91.0,-90.0,-88.0,-88.0,-101.0,1
-95.0,-91.0,-74.0,-77.0,-78.0,1
-78.0,-76.0,-78.0,-77.0,-77.0,1
-79.0,-85.0,-78.0,-84.0,-86.0,1
-91.0,-78.0,-82.0,-82.0,-85.0,1
-81.0,-78.0,-75.0,-72.0,-76.0,1
-76.0,-77.0,-76.0,-77.0,-67.0,1
-67.0,-66.0,-68.0,-68.0,-67.0,1
-67.0,-67.0,-67.0,-66.0,-67.0,1
-68.0,-68.0,-67.0,-67.0,-66.0,1
-66.0,-66.0,-66.0,-66.0,-67.0,1
-73.0,-81.0,-81.0,-82.0,-82.0,1
-81.0,-82.0,-81.0,-66.0,-83.0,1
-83.0,-82.0,-83.0,-82.0,-83.0,1
-82.0,-82.0,-81.0,-82.0,-78.0,1
-80.0,-77.0,-78.0,-78.0,-76.0,1
-70.0,-76.0,-77.0,-74.0,-75.0,1
-67.0,-67.0,-68.0,-68.0,-67.0,1
-58.0,-66.0,-68.0,-67.0,-68.0,1
-68.0,-67.0,-68.0,-67.0,-68.0,1
-67.0,-68.0,-67.0,-68.0,-49.0,1
-67.0,-67.0,-67.0,-68.0,-67.0,1
-89.0,-85.0,-86.0,-82.0,-83.0,1
-83.0,-80.0,-81.0,-75.0,-85.0,1
-66.0,-82.0,-88.0,-83.0,-86.0,1
-84.0,-86.0,-80.0,-102.0,-84.0,1
-94.0,-83.0,-84.0,-87.0,-87.0,1
-90.0,-84.0,-80.0,-92.0,-97.0,1
-86.0,-90.0,-86.0,-84.0,-76.0,1
-78.0,-77.0,-76.0,-75.0,-79.0,1
-59.0,-76.0,-75.0,-78.0,-77.0,1
-78.0,-79.0,-78.0,-79.0,-78.0,1
-74.0,-76.0,-74.0,-77.0,-78.0,1
-75.0,-68.0,-68.0,-68.0,-68.0,1
-67.0,-66.0,-68.0,-68.0,-68.0,1
-67.0,-67.0,-68.0,-67.0,-66.0,1
-49.0,-66.0,-66.0,-66.0,-66.0,1
-67.0,-67.0,-67.0,-68.0,-67.0,1
-67.0,-67.0,-66.0,-66.0,-82.0,1
-81.0,-86.0,-83.0,-83.0,-83.0,1
-84.0,-85.0,-82.0,-82.0,-81.0,1
-80.0,-87.0,-87.0,-79.0,-99.0,1
-82.0,-84.0,-80.0,-81.0,-82.0,1
-84.0,-79.0,-77.0,-79.0,-81.0,1
-82.0,-83.0,-84.0,-85.0,-84.0,1
-81.0,-79.0,-83.0,-82.0,-85.0,1
-81.0,-80.0,-82.0,-83.0,-84.0,1
-74.0,-74.0,-75.0,-75.0,-77.0,1
-78.0,-77.0,-74.0,-77.0,-67.0,1
-68.0,-67.0,-66.0,-67.0,-67.0,1
-66.0,-67.0,-66.0,-67.0,-67.0,1
-67.0,-67.0,-66.0,-67.0,-67.0,1
-67.0,-67.0,-67.0,-67.0,-67.0,1
-66.0,-68.0,-67.0,-67.0,-68.0,1
-67.0,-88.0,-89.0,-87.0,-85.0,1
-84.0,-85.0,-84.0,-84.0,-96.0,1
-95.0,-92.0,-90.0,-89.0,-87.0,1
-86.0,-87.0,-94.0,-97.0,-90.0,1
-87.0,-88.0,-87.0,-94.0,-97.0,1
-104.0,-100.0,-91.0,-85.0,-85.0,1
-86.0,-87.0,-86.0,-86.0,-86.0,1
-87.0,-88.0,-89.0,-91.0,-91.0,1
-90.0,-91.0,-91.0,-91.0,-91.0,1
-88.0,-90.0,-91.0,-91.0,-92.0,1
-89.0,-89.0,-90.0,-89.0,-89.0,1
-89.0,-89.0,-106.0,-102.0,-100.0,1
