Modelo,Prediccion (%),errorMedio (m.)
LiR,11.0491071429,0.669895681072
Lasso,11.0491071429,0.669895681072
EN,11.0491071429,0.669895681072
KNN,10.15625,0.730453716282
CART,11.9419642857,0.659122461355
SVR,12.0535714286,0.656899434104
AB,11.8303571429,0.664390394306
GBM,11.9419642857,0.659122461355
RF,11.9419642857,0.660261644191
ET,11.9419642857,0.659122461355
