Modelo,Prediccion (%),errorMedio (m.)
LoR,11.094224924,0.954189648717
MLP,7.50759878419,0.900354560832
LDA,11.0638297872,0.95363130988
KNN,8.41945288754,1.0615870665
CART,13.2522796353,0.90000671644
NB,12.7051671733,0.901830352437
SVM,13.2522796353,0.8998240644
AB,13.2522796353,0.8998240644
GBM,13.2218844985,0.902813505719
RF,13.3130699088,0.909423548593
ET,13.2522796353,0.90000671644
