Be07,Be08,Be09,Be10,Be11,Sector
-93.0,-93.0,-94.0,-94.0,-94.0,1
-95.0,-94.0,-93.0,-92.0,-93.0,1
-92.0,-92.0,-91.0,-92.0,-91.0,1
-91.0,-91.0,-92.0,-93.0,-94.0,1
-92.0,-106.0,-106.0,-106.0,-107.0,1
-91.0,-93.0,-90.0,-92.0,-90.0,2
-98.0,-100.0,-96.0,-95.0,-97.0,2
-97.0,-93.0,-100.0,-96.0,-98.0,2
-98.0,-101.0,-99.0,-98.0,-101.0,2
-95.0,-96.0,-95.0,-95.0,-100.0,2
-99.0,-99.0,-98.0,-99.0,-98.0,2
-100.0,-99.0,-102.0,-98.0,-98.0,2
-102.0,-100.0,-100.0,-105.0,-103.0,2
-99.0,-101.0,-103.0,-103.0,-101.0,2
-98.0,-96.0,-93.0,-96.0,-99.0,2
-95.0,-95.0,-91.0,-93.0,-95.0,2
-95.0,-94.0,-93.0,-95.0,-94.0,2
-95.0,-98.0,-97.0,-99.0,-97.0,2
-102.0,-99.0,-101.0,-99.0,-97.0,2
-97.0,-98.0,-101.0,-97.0,-102.0,2
-104.0,-105.0,-106.0,-102.0,-103.0,2
-100.0,-96.0,-96.0,-97.0,-96.0,2
-95.0,-94.0,-94.0,-94.0,-94.0,2
-94.0,-94.0,-93.0,-94.0,-96.0,2
-94.0,-95.0,-95.0,-95.0,-94.0,2
-94.0,-95.0,-94.0,-94.0,-94.0,2
-96.0,-94.0,-94.0,-95.0,-95.0,2
-94.0,-95.0,-95.0,-96.0,-98.0,2
-97.0,-97.0,-97.0,-99.0,-97.0,2
-97.0,-99.0,-100.0,-97.0,-98.0,2
-97.0,-99.0,-100.0,-99.0,-100.0,2
-99.0,-99.0,-99.0,-98.0,-96.0,2
-95.0,-96.0,-94.0,-94.0,-93.0,2
-94.0,-95.0,-96.0,-94.0,-96.0,2
-96.0,-94.0,-92.0,-93.0,-102.0,2
-98.0,-97.0,-94.0,-96.0,-94.0,2
-94.0,-97.0,-98.0,-99.0,-99.0,2
-98.0,-96.0,-97.0,-92.0,-92.0,2
-92.0,-91.0,-91.0,-89.0,-91.0,2
-89.0,-90.0,-88.0,-91.0,-94.0,2
-92.0,-90.0,-90.0,-91.0,-89.0,2
-90.0,-90.0,-88.0,-90.0,-89.0,2
-90.0,-90.0,-90.0,-88.0,-90.0,2
-90.0,-89.0,-89.0,-90.0,-90.0,2
-90.0,-89.0,-89.0,-89.0,-89.0,2
-89.0,-89.0,-92.0,-87.0,-89.0,2
-91.0,-88.0,-89.0,-90.0,-91.0,2
-90.0,-91.0,-93.0,-94.0,-90.0,2
-94.0,-92.0,-92.0,-92.0,-93.0,2
-92.0,-90.0,-90.0,-90.0,-90.0,2
-90.0,-90.0,-90.0,-90.0,-91.0,2
-91.0,-91.0,-90.0,-92.0,-95.0,2
-96.0,-95.0,-95.0,-95.0,-98.0,2
-95.0,-97.0,-96.0,-98.0,-97.0,2
-95.0,-92.0,-92.0,-88.0,-89.0,2
-87.0,-89.0,-88.0,-89.0,-88.0,2
-89.0,-87.0,-88.0,-88.0,-90.0,2
-88.0,-86.0,-88.0,-88.0,-89.0,2
-88.0,-88.0,-89.0,-87.0,-88.0,2
-88.0,-88.0,-87.0,-88.0,-89.0,2
-89.0,-89.0,-89.0,-89.0,-90.0,2
-90.0,-91.0,-91.0,-91.0,-91.0,2
-91.0,-90.0,-91.0,-91.0,-90.0,2
-91.0,-91.0,-91.0,-92.0,-91.0,2
-93.0,-92.0,-90.0,-91.0,-89.0,2
-89.0,-90.0,-89.0,-89.0,-89.0,2
-89.0,-88.0,-91.0,-92.0,-92.0,2
-92.0,-94.0,-95.0,-93.0,-93.0,2
-95.0,-97.0,-97.0,-101.0,-96.0,2
-97.0,-97.0,-96.0,-98.0,-102.0,2
-104.0,-86.0,-85.0,-87.0,-87.0,2
-86.0,-90.0,-92.0,-92.0,-90.0,2
