Modelo,Prediccion (%),errorMedio (m.)
LiR,8.57142857143,0.756742456942
Lasso,8.57142857143,0.756575037737
EN,8.54103343465,0.75658797532
KNN,8.81458966565,0.814897080137
CART,8.66261398176,0.912924416662
SVR,9.08814589666,0.76498034878
AB,9.17933130699,0.793950485973
GBM,8.54103343465,0.772598146454
RF,8.78419452888,0.786071942588
ET,8.90577507599,0.812510877577
