Modelo,Prediccion (%),errorMedio (m.)
LoR,8.89384762512,1.01686777547
MLP,8.38380618425,1.026740841
LDA,9.97768568696,1.08499190967
KNN,13.1016895123,0.938359509049
CART,12.368504941,0.960300721315
NB,10.1370736372,1.05098565521
SVM,14.5680586548,0.921413384043
AB,12.942301562,0.938443232626
GBM,15.6200191266,0.939287892418
RF,13.6754861332,0.925603141762
ET,13.4842205929,0.935174080769
