Modelo,Prediccion (%),errorMedio (m.)
LoR,22.8251977093,0.612637358057
MLP,5.80856285792,1.37750393814
LDA,10.0899918189,0.852800429052
KNN,27.6793018816,0.567301318749
CART,34.1968911917,0.518149281801
NB,27.6520316335,0.661711115009
SVM,34.2241614399,0.517266894366
AB,34.1968911917,0.519039957369
GBM,34.1968911917,0.517958855916
RF,34.1968911917,0.518328339971
ET,34.1968911917,0.518149281801
