Modelo,Prediccion (%),errorMedio (m.)
LoR,49.898000816,0.532249372907
MLP,67.4418604651,0.324174744559
LDA,49.8164014688,0.514087735056
KNN,82.4969400245,0.189377581044
CART,80.9465524276,0.203410488355
NB,65.8506731946,0.356653584785
SVM,80.3753569971,0.203265143062
AB,86.3321093431,0.146885133356
GBM,88.0456956344,0.132499279125
RF,87.066503468,0.138957386994
ET,87.1889024888,0.140134869388
