Modelo,Prediccion (%),errorMedio (m.)
LiR,7.46634026928,0.653350397263
Lasso,7.13994288046,0.654139505791
EN,7.13994288046,0.654481988967
KNN,52.672378621,0.321608337982
CART,52.0603835169,0.362975086609
SVR,43.2884536924,0.406848244527
AB,58.0171358629,0.272668493234
GBM,45.6548347613,0.366626149213
RF,53.5699714402,0.308843879885
ET,54.1411668707,0.300691672412
