Modelo,Prediccion (%),errorMedio (m.)
LiR,7.47,0.65
Lasso,7.14,0.65
EN,7.14,0.65
KNN,52.67,0.32
CART,52.06,0.36
SVR,43.29,0.41
AB,58.02,0.27
GBM,45.65,0.37
RF,53.57,0.31
ET,54.14,0.30
