Modelo,Tx=0x01,Tx=0x02,Tx=0x03,Tx=0x04,Tx=0x05,Tx=0x06,Tx=0x07
LoR,1.04,1.07,1.10,0.98,0.95,1.00,0.78
MLP,1.22,0.91,1.36,0.93,0.90,0.86,0.78
LDA,1.03,1.07,1.10,0.99,0.95,0.97,0.78
KNN,1.01,1.04,1.01,1.01,1.06,1.07,0.97
CART,0.88,0.89,0.95,0.97,0.90,0.91,0.82
NB,0.94,1.00,0.94,1.11,0.90,0.89,0.79
SVM,0.88,0.88,0.96,0.96,0.90,0.91,0.81
AB,0.88,0.89,0.96,0.96,0.90,0.91,0.81
GBM,0.88,0.89,0.95,0.97,0.90,0.91,0.80
RF,0.87,0.89,0.94,0.97,0.91,0.90,0.82
ET,0.88,0.89,0.95,0.97,0.90,0.91,0.82
