Modelo,Prediccion (%),errorMedio (m.)
LiR,10.3550295858,0.677015724743
Lasso,10.2810650888,0.679520577473
EN,10.2071005917,0.68126873439
KNN,42.899408284,0.362100063839
CART,41.6420118343,0.431488980726
SVR,36.1686390533,0.446157885965
AB,49.1863905325,0.319404527797
GBM,37.8698224852,0.411091781284
RF,43.0473372781,0.35990263117
ET,41.7159763314,0.364449805944
