Modelo,Prediccion (%),errorMedio (m.)
LiR,20.5240174672,0.522567861197
Lasso,20.7860262009,0.522379640043
EN,21.3100436681,0.524271251169
KNN,59.6506550218,0.240323939254
CART,60.0873362445,0.249649511188
SVR,55.4585152838,0.28418478802
AB,61.135371179,0.223691373537
GBM,55.3711790393,0.270344780053
RF,58.0786026201,0.244836580389
ET,59.2139737991,0.237640119255
