Modelo,Prediccion (%),errorMedio (m.)
LoR,57.2822299652,0.349734714148
MLP,68.2926829268,0.288592108501
LDA,56.5853658537,0.357676182053
KNN,81.9512195122,0.151177567188
CART,78.8153310105,0.181456308685
NB,69.9651567944,0.257265311037
SVM,79.512195122,0.193385958089
AB,82.9268292683,0.1404142383
GBM,87.5958188153,0.103777173417
RF,84.8780487805,0.123683422315
ET,85.7142857143,0.114830246347
