Be07,Be08,Be09,Be10,Be11,Sector
-85.0,-87.0,-77.0,-76.0,-86.0,1.0
-84.0,-87.0,-88.0,-77.0,-84.0,1.0
-82.0,-88.0,-78.0,-77.0,-84.0,1.0
-82.0,-85.0,-87.0,-76.0,-84.0,1.0
-83.0,-88.0,-88.0,-76.0,-84.0,1.0
-84.0,-87.0,-80.0,-77.0,-84.0,1.0
-84.0,-84.0,-87.0,-76.0,-83.0,1.0
-84.0,-88.0,-80.0,-76.0,-84.0,1.0
-85.0,-87.0,-88.0,-76.0,-84.0,1.0
-83.0,-88.0,-80.0,-86.0,-84.0,1.0
-84.0,-88.0,-89.0,-76.0,-84.0,1.0
-83.0,-88.0,-80.0,-77.0,-84.0,1.0
-84.0,-84.0,-78.0,-76.0,-84.0,1.0
-83.0,-85.0,-88.0,-76.0,-84.0,1.0
-84.0,-88.0,-80.0,-76.0,-84.0,1.0
-84.0,-88.0,-88.0,-76.0,-84.0,1.0
-84.0,-88.0,-80.0,-77.0,-84.0,1.0
-85.0,-86.0,-80.0,-77.0,-84.0,1.0
-84.0,-85.0,-88.0,-77.0,-86.0,1.0
-83.0,-87.0,-77.0,-77.0,-84.0,1.0
-86.0,-85.0,-87.0,-76.0,-86.0,1.0
-85.0,-86.0,-78.0,-77.0,-83.0,1.0
-84.0,-89.0,-88.0,-76.0,-84.0,1.0
-84.0,-85.0,-80.0,-86.0,-84.0,1.0
-85.0,-87.0,-78.0,-76.0,-84.0,1.0
-83.0,-88.0,-88.0,-76.0,-84.0,1.0
-85.0,-85.0,-80.0,-76.0,-84.0,1.0
-83.0,-88.0,-80.0,-76.0,-83.0,1.0
-83.0,-89.0,-78.0,-76.0,-86.0,1.0
-83.0,-89.0,-79.0,-77.0,-84.0,1.0
-83.0,-88.0,-78.0,-77.0,-84.0,1.0
-83.0,-88.0,-80.0,-76.0,-83.0,1.0
-86.0,-84.0,-78.0,-76.0,-84.0,1.0
-83.0,-88.0,-80.0,-77.0,-86.0,1.0
-83.0,-86.0,-77.0,-77.0,-84.0,1.0
-84.0,-88.0,-77.0,-77.0,-85.0,1.0
-84.0,-88.0,-78.0,-76.0,-84.0,1.0
-83.0,-86.0,-78.0,-77.0,-83.0,1.0
-84.0,-86.0,-80.0,-76.0,-84.0,1.0
-83.0,-87.0,-78.0,-77.0,-84.0,1.0
-86.0,-85.0,-78.0,-77.0,-86.0,1.0
-83.0,-88.0,-78.0,-87.0,-86.0,1.0
-83.0,-88.0,-77.0,-77.0,-84.0,1.0
-83.0,-87.0,-88.0,-76.0,-87.0,1.0
-85.0,-88.0,-77.0,-77.0,-84.0,1.0
-83.0,-87.0,-88.0,-76.0,-86.0,1.0
-84.0,-88.0,-80.0,-77.0,-84.0,1.0
-84.0,-87.0,-77.0,-77.0,-83.0,1.0
-83.0,-88.0,-88.0,-85.0,-84.0,1.0
-84.0,-88.0,-78.0,-77.0,-83.0,1.0
-83.0,-88.0,-89.0,-77.0,-86.0,1.0
-85.0,-86.0,-80.0,-77.0,-83.0,1.0
-82.0,-88.0,-80.0,-77.0,-86.0,1.0
-84.0,-86.0,-78.0,-77.0,-83.0,1.0
-83.0,-87.0,-78.0,-77.0,-86.0,1.0
-83.0,-88.0,-78.0,-77.0,-83.0,1.0
-84.0,-86.0,-80.0,-76.0,-86.0,1.0
-84.0,-88.0,-88.0,-86.0,-86.0,1.0
-86.0,-87.0,-80.0,-77.0,-86.0,1.0
-83.0,-86.0,-78.0,-77.0,-84.0,1.0
-82.0,-86.0,-78.0,-77.0,-84.0,1.0
-81.0,-87.0,-88.0,-76.0,-86.0,1.0
-83.0,-88.0,-78.0,-86.0,-86.0,1.0
-83.0,-87.0,-80.0,-77.0,-84.0,1.0
-84.0,-88.0,-78.0,-77.0,-84.0,1.0
-83.0,-88.0,-80.0,-76.0,-83.0,1.0
