Be07,Be08,Be09,Be10,Be11,Sector
-65.0,-71.0,-73.0,-76.0,-65.0,1.0
-66.0,-68.0,-73.0,-69.0,-76.0,1.0
-69.0,-76.0,-60.0,-84.0,-65.0,1.0
-68.0,-70.0,-61.0,-72.0,-66.0,1.0
-67.0,-68.0,-63.0,-77.0,-65.0,1.0
-64.0,-74.0,-62.0,-71.0,-68.0,1.0
-67.0,-68.0,-62.0,-70.0,-76.0,1.0
-64.0,-75.0,-72.0,-76.0,-65.0,1.0
-67.0,-76.0,-62.0,-72.0,-68.0,1.0
-64.0,-71.0,-61.0,-76.0,-65.0,1.0
-65.0,-66.0,-63.0,-79.0,-69.0,1.0
-63.0,-70.0,-71.0,-75.0,-69.0,1.0
-68.0,-68.0,-60.0,-81.0,-76.0,1.0
-65.0,-69.0,-71.0,-75.0,-69.0,1.0
-70.0,-69.0,-72.0,-74.0,-78.0,1.0
-66.0,-69.0,-62.0,-81.0,-65.0,1.0
-65.0,-69.0,-72.0,-76.0,-66.0,1.0
-67.0,-70.0,-62.0,-71.0,-65.0,1.0
-65.0,-76.0,-72.0,-81.0,-77.0,1.0
-67.0,-77.0,-63.0,-76.0,-67.0,1.0
-63.0,-67.0,-74.0,-78.0,-77.0,1.0
-65.0,-76.0,-62.0,-76.0,-63.0,1.0
-68.0,-70.0,-72.0,-71.0,-69.0,1.0
-65.0,-76.0,-62.0,-80.0,-63.0,1.0
-64.0,-76.0,-71.0,-77.0,-69.0,1.0
-68.0,-76.0,-63.0,-70.0,-65.0,1.0
-66.0,-70.0,-62.0,-77.0,-68.0,1.0
-62.0,-76.0,-72.0,-80.0,-65.0,1.0
-66.0,-71.0,-60.0,-77.0,-76.0,1.0
-68.0,-68.0,-72.0,-77.0,-65.0,1.0
-66.0,-76.0,-62.0,-77.0,-76.0,1.0
-68.0,-71.0,-72.0,-80.0,-65.0,1.0
-66.0,-68.0,-62.0,-77.0,-76.0,1.0
-68.0,-71.0,-63.0,-79.0,-68.0,1.0
-65.0,-68.0,-62.0,-72.0,-64.0,1.0
-65.0,-76.0,-63.0,-79.0,-68.0,1.0
-66.0,-68.0,-62.0,-72.0,-68.0,1.0
-67.0,-76.0,-62.0,-77.0,-76.0,1.0
-68.0,-68.0,-61.0,-70.0,-68.0,1.0
-66.0,-76.0,-72.0,-77.0,-77.0,1.0
-65.0,-70.0,-60.0,-71.0,-68.0,1.0
-66.0,-77.0,-72.0,-75.0,-65.0,1.0
-65.0,-75.0,-63.0,-76.0,-68.0,1.0
-69.0,-76.0,-72.0,-72.0,-77.0,1.0
-68.0,-68.0,-63.0,-77.0,-68.0,1.0
-66.0,-79.0,-63.0,-71.0,-77.0,1.0
-67.0,-70.0,-73.0,-72.0,-65.0,1.0
-67.0,-69.0,-63.0,-69.0,-69.0,1.0
-66.0,-71.0,-73.0,-76.0,-77.0,1.0
-69.0,-69.0,-63.0,-81.0,-65.0,1.0
-68.0,-78.0,-61.0,-75.0,-76.0,1.0
-64.0,-69.0,-72.0,-69.0,-65.0,1.0
-67.0,-71.0,-62.0,-82.0,-77.0,1.0
-68.0,-68.0,-63.0,-75.0,-64.0,1.0
-68.0,-71.0,-72.0,-71.0,-68.0,1.0
-63.0,-68.0,-63.0,-75.0,-68.0,1.0
-67.0,-71.0,-72.0,-79.0,-77.0,1.0
-63.0,-68.0,-61.0,-75.0,-68.0,1.0
-67.0,-76.0,-72.0,-79.0,-67.0,1.0
-67.0,-69.0,-61.0,-71.0,-77.0,1.0
-62.0,-75.0,-72.0,-77.0,-65.0,1.0
-68.0,-71.0,-61.0,-80.0,-65.0,1.0
-68.0,-68.0,-62.0,-78.0,-69.0,1.0
-68.0,-70.0,-72.0,-71.0,-75.0,1.0
-68.0,-68.0,-63.0,-71.0,-68.0,1.0
-63.0,-77.0,-61.0,-76.0,-65.0,1.0
-66.0,-68.0,-62.0,-75.0,-68.0,1.0
-67.0,-76.0,-62.0,-71.0,-65.0,1.0
-64.0,-67.0,-62.0,-77.0,-77.0,1.0
-65.0,-72.0,-64.0,-79.0,-65.0,1.0
-65.0,-70.0,-63.0,-71.0,-79.0,1.0
-64.0,-68.0,-62.0,-72.0,-65.0,1.0
-64.0,-71.0,-71.0,-72.0,-77.0,1.0
-64.0,-69.0,-63.0,-75.0,-65.0,1.0
-63.0,-71.0,-71.0,-71.0,-76.0,1.0
-68.0,-77.0,-72.0,-83.0,-63.0,1.0
-63.0,-75.0,-63.0,-71.0,-68.0,1.0
-68.0,-68.0,-62.0,-76.0,-77.0,1.0
-65.0,-76.0,-71.0,-71.0,-66.0,1.0
-66.0,-69.0,-63.0,-76.0,-78.0,1.0
-65.0,-72.0,-73.0,-72.0,-65.0,1.0
-66.0,-77.0,-60.0,-77.0,-65.0,1.0
-64.0,-68.0,-62.0,-71.0,-76.0,1.0
-66.0,-72.0,-62.0,-80.0,-65.0,1.0
-67.0,-68.0,-60.0,-75.0,-76.0,1.0
-67.0,-72.0,-62.0,-72.0,-65.0,1.0
-65.0,-67.0,-72.0,-80.0,-77.0,1.0
-67.0,-71.0,-61.0,-72.0,-65.0,1.0
-67.0,-75.0,-72.0,-72.0,-76.0,1.0
-65.0,-71.0,-60.0,-80.0,-68.0,1.0
-67.0,-75.0,-62.0,-72.0,-76.0,1.0
-65.0,-72.0,-60.0,-76.0,-68.0,1.0
-67.0,-68.0,-72.0,-70.0,-75.0,1.0
-65.0,-75.0,-61.0,-76.0,-68.0,1.0
