Be07,Be08,Be09,Be10,Be11,Sector
-68.0,-53.0,-53.0,-59.0,-69.0,1.0
-65.0,-61.0,-55.0,-57.0,-63.0,1.0
-69.0,-54.0,-53.0,-59.0,-70.0,1.0
-66.0,-62.0,-52.0,-52.0,-71.0,1.0
-69.0,-54.0,-55.0,-62.0,-68.0,1.0
-64.0,-55.0,-52.0,-52.0,-64.0,1.0
-68.0,-54.0,-55.0,-61.0,-67.0,1.0
-73.0,-59.0,-54.0,-51.0,-70.0,1.0
-72.0,-54.0,-55.0,-60.0,-64.0,1.0
-66.0,-59.0,-53.0,-51.0,-74.0,1.0
-78.0,-60.0,-55.0,-62.0,-72.0,1.0
-68.0,-57.0,-53.0,-52.0,-72.0,1.0
-72.0,-65.0,-55.0,-61.0,-63.0,1.0
-68.0,-55.0,-54.0,-51.0,-73.0,1.0
-71.0,-63.0,-57.0,-56.0,-62.0,1.0
-70.0,-55.0,-53.0,-51.0,-75.0,1.0
-76.0,-55.0,-57.0,-65.0,-63.0,1.0
-69.0,-57.0,-53.0,-51.0,-68.0,1.0
-68.0,-55.0,-55.0,-62.0,-63.0,1.0
-70.0,-63.0,-54.0,-62.0,-68.0,1.0
-69.0,-55.0,-57.0,-60.0,-63.0,1.0
-74.0,-62.0,-54.0,-63.0,-72.0,1.0
-69.0,-54.0,-54.0,-63.0,-64.0,1.0
-72.0,-65.0,-54.0,-50.0,-66.0,1.0
-69.0,-54.0,-55.0,-62.0,-63.0,1.0
-76.0,-56.0,-54.0,-50.0,-64.0,1.0
-73.0,-54.0,-52.0,-65.0,-67.0,1.0
-73.0,-61.0,-54.0,-50.0,-76.0,1.0
-73.0,-56.0,-55.0,-59.0,-67.0,1.0
-74.0,-57.0,-54.0,-64.0,-63.0,1.0
-68.0,-54.0,-54.0,-51.0,-72.0,1.0
-70.0,-64.0,-54.0,-60.0,-64.0,1.0
-74.0,-54.0,-52.0,-50.0,-64.0,1.0
-73.0,-58.0,-55.0,-59.0,-66.0,1.0
-71.0,-63.0,-54.0,-51.0,-74.0,1.0
-68.0,-58.0,-52.0,-63.0,-63.0,1.0
-74.0,-59.0,-54.0,-51.0,-66.0,1.0
-66.0,-57.0,-52.0,-60.0,-75.0,1.0
-76.0,-57.0,-54.0,-51.0,-64.0,1.0
-69.0,-56.0,-53.0,-60.0,-64.0,1.0
-71.0,-56.0,-57.0,-50.0,-67.0,1.0
-67.0,-64.0,-55.0,-59.0,-64.0,1.0
-73.0,-57.0,-53.0,-50.0,-64.0,1.0
-69.0,-63.0,-55.0,-59.0,-66.0,1.0
-73.0,-57.0,-55.0,-64.0,-64.0,1.0
-71.0,-63.0,-53.0,-51.0,-66.0,1.0
-71.0,-56.0,-53.0,-60.0,-73.0,1.0
-67.0,-63.0,-54.0,-65.0,-72.0,1.0
-71.0,-57.0,-53.0,-60.0,-64.0,1.0
-68.0,-63.0,-55.0,-65.0,-66.0,1.0
-70.0,-55.0,-54.0,-50.0,-64.0,1.0
-67.0,-63.0,-54.0,-59.0,-67.0,1.0
-73.0,-56.0,-53.0,-51.0,-64.0,1.0
-72.0,-56.0,-57.0,-58.0,-66.0,1.0
-67.0,-64.0,-52.0,-51.0,-63.0,1.0
-69.0,-57.0,-57.0,-66.0,-67.0,1.0
-68.0,-66.0,-53.0,-51.0,-63.0,1.0
-74.0,-57.0,-54.0,-64.0,-66.0,1.0
-71.0,-56.0,-54.0,-50.0,-73.0,1.0
-71.0,-55.0,-55.0,-57.0,-64.0,1.0
-71.0,-60.0,-52.0,-51.0,-73.0,1.0
-71.0,-56.0,-55.0,-58.0,-64.0,1.0
-71.0,-62.0,-52.0,-51.0,-67.0,1.0
-72.0,-57.0,-57.0,-61.0,-63.0,1.0
-71.0,-57.0,-52.0,-50.0,-64.0,1.0
